location_key;date;country_code;country_name;new_confirmed;new_deceased;cumulative_confirmed;cumulative_deceased;cumulative_vaccine_doses_administered;population;population_male;population_female;population_rural;population_urban;population_density;human_development_index;population_age_00_09;population_age_10_19;population_age_20_29;population_age_30_39;population_age_40_49;population_age_50_59;population_age_60_69;population_age_70_79;population_age_80_and_older;gdp_usd;gdp_per_capita_usd;latitude;longitude;area_sq_km;smoking_prevalence;diabetes_prevalence;infant_mortality_rate;nurses_per_1000;physicians_per_1000;average_temperature_celsius;minimum_temperature_celsius;maximum_temperature_celsius;rainfall_mm;relative_humidity;population_largest_city;area_rural_sq_km;area_urban_sq_km;life_expectancy;adult_male_mortality_rate;adult_female_mortality_rate;pollution_mortality_rate;comorbidity_mortality_rate;new_recovered;cumulative_recovered;nivel_recuperacion;mes;median_age
AR;2021-01-01;AR;Argentina;2685,0;140,0;1662867,0;46522,0;18849,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;26,39;15,58;33,03;0,0;41,56;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-02;AR;Argentina;7767,0;166,0;1670634,0;46688,0;20334,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;27,74;18,1;33,96;0,0;43,58;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-03;AR;Argentina;4934,0;157,0;1675568,0;46845,0;20529,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;21,96;17,95;33,46;13,14;74,88;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-04;AR;Argentina;13953,0;157,0;1689521,0;47002,0;25164,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;24,89;18,07;30,24;1,5;60,81;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-05;AR;Argentina;14085,0;160,0;1703606,0;47162,0;29852,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;20,1;16,14;30,69;8,29;72,97;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-06;AR;Argentina;14496,0;131,0;1718102,0;47293,0;34162,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;20,92;13,29;26,58;5,11;52,24;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-07;AR;Argentina;13722,0;160,0;1731824,0;47453,0;42092,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;25,12;12,76;32,38;0,0;39,69;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-08;AR;Argentina;13932,0;162,0;1745756,0;47615,0;54090,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;22,83;16,5;33,08;3,27;57,25;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-09;AR;Argentina;9959,0;158,0;1755715,0;47773,0;58552,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;22,73;13,19;29,36;13,69;61,72;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-01-10;AR;Argentina;5174,0;165,0;1760889,0;47938,0;59043,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;25,9;17,16;32,46;0,0;62,97;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
